# TOPAS Version: 3.9
# Parameter File: ./jobs/job2.txt
# Results for scorer: DoseScorer
# Scored in component: Patient
# Warning: Some steps were not scored due to touchable returning an invalid index number.
# See console log for messages starting with: Topas experienced a potentially serious error in scoring.
# We believe this error is due to an unsolved bug in Geant4 parallel world handling.
# Total number of steps not scored for this reason: 7
# Total amount of energy not scored for this reason: 2.78269e-33 MeV
# X in 128 bins of 0.4 cm
# Y in 128 bins of 0.4 cm
# Z in 4 bins of 1 cm
# DoseToMedium ( Gy ) : Sum   
0, 0, 0, 0
0, 0, 1, 0
0, 0, 2, 0
0, 0, 3, 0
0, 1, 0, 0
0, 1, 1, 0
0, 1, 2, 0
0, 1, 3, 4.589430571688702e-11
0, 2, 0, 0
0, 2, 1, 0
0, 2, 2, 0
0, 2, 3, 1.399616200714604e-09
0, 3, 0, 0
0, 3, 1, 0
0, 3, 2, 0
0, 3, 3, 1.954400252746069e-10
0, 4, 0, 0
0, 4, 1, 0
0, 4, 2, 0
0, 4, 3, 0
0, 5, 0, 0
0, 5, 1, 0
0, 5, 2, 0
0, 5, 3, 0
0, 6, 0, 1.309473085520096e-09
0, 6, 1, 7.401108059745809e-10
0, 6, 2, 0
0, 6, 3, 0
0, 7, 0, 4.445518952955752e-10
0, 7, 1, 0
0, 7, 2, 0
0, 7, 3, 0
0, 8, 0, 0
0, 8, 1, 0
0, 8, 2, 1.084144107821317e-09
0, 8, 3, 0
0, 9, 0, 0
0, 9, 1, 0
0, 9, 2, 3.680352966828337e-10
0, 9, 3, 0
0, 10, 0, 0
0, 10, 1, 0
0, 10, 2, 0
0, 10, 3, 0
0, 11, 0, 0
0, 11, 1, 0
0, 11, 2, 0
0, 11, 3, 0
0, 12, 0, 0
0, 12, 1, 0
0, 12, 2, 0
0, 12, 3, 0
0, 13, 0, 0
0, 13, 1, 0
0, 13, 2, 0
0, 13, 3, 0
0, 14, 0, 0
0, 14, 1, 0
0, 14, 2, 0
0, 14, 3, 1.482308720213155e-10
0, 15, 0, 0
0, 15, 1, 0
0, 15, 2, 0
0, 15, 3, 5.912911271721555e-10
0, 16, 0, 0
0, 16, 1, 0
0, 16, 2, 0
0, 16, 3, 0
0, 17, 0, 0
0, 17, 1, 0
0, 17, 2, 0
0, 17, 3, 0
0, 18, 0, 0
0, 18, 1, 0
0, 18, 2, 0
0, 18, 3, 0
0, 19, 0, 9.912794196598185e-11
0, 19, 1, 4.732612635116595e-10
0, 19, 2, 0
0, 19, 3, 7.790356137959975e-10
0, 20, 0, 0
0, 20, 1, 6.391074336420388e-09
0, 20, 2, 0
0, 20, 3, 0
0, 21, 0, 0
0, 21, 1, 0
0, 21, 2, 0
0, 21, 3, 0
0, 22, 0, 0
0, 22, 1, 0
0, 22, 2, 0
0, 22, 3, 0
0, 23, 0, 0
0, 23, 1, 0
0, 23, 2, 0
0, 23, 3, 0
0, 24, 0, 0
0, 24, 1, 0
0, 24, 2, 0
0, 24, 3, 0
0, 25, 0, 0
0, 25, 1, 0
0, 25, 2, 0
0, 25, 3, 0
0, 26, 0, 0
0, 26, 1, 0
0, 26, 2, 0
0, 26, 3, 0
0, 27, 0, 0
0, 27, 1, 0
0, 27, 2, 0
0, 27, 3, 0
0, 28, 0, 0
0, 28, 1, 0
0, 28, 2, 0
0, 28, 3, 0
0, 29, 0, 0
0, 29, 1, 0
0, 29, 2, 0
0, 29, 3, 0
0, 30, 0, 0
0, 30, 1, 0
0, 30, 2, 0
0, 30, 3, 0
0, 31, 0, 0
0, 31, 1, 0
0, 31, 2, 0
0, 31, 3, 0
0, 32, 0, 0
0, 32, 1, 1.195357701710975e-09
0, 32, 2, 0
0, 32, 3, 0
0, 33, 0, 0
0, 33, 1, 0
0, 33, 2, 0
0, 33, 3, 0
0, 34, 0, 0
0, 34, 1, 0
0, 34, 2, 0
0, 34, 3, 0
0, 35, 0, 0
0, 35, 1, 0
0, 35, 2, 0
0, 35, 3, 0
0, 36, 0, 0
0, 36, 1, 0
0, 36, 2, 0
0, 36, 3, 0
0, 37, 0, 0
0, 37, 1, 1.12642939420482e-09
0, 37, 2, 0
0, 37, 3, 0
0, 38, 0, 0
0, 38, 1, 0
0, 38, 2, 0
0, 38, 3, 0
0, 39, 0, 0
0, 39, 1, 0
0, 39, 2, 0
0, 39, 3, 0
0, 40, 0, 0
0, 40, 1, 0
0, 40, 2, 0
0, 40, 3, 0
0, 41, 0, 0
0, 41, 1, 1.76551073760578e-09
0, 41, 2, 0
0, 41, 3, 0
0, 42, 0, 0
0, 42, 1, 8.066983192556165e-10
0, 42, 2, 0
0, 42, 3, 0
0, 43, 0, 0
0, 43, 1, 0
0, 43, 2, 0
0, 43, 3, 0
0, 44, 0, 0
0, 44, 1, 0
0, 44, 2, 0
0, 44, 3, 0
0, 45, 0, 0
0, 45, 1, 0
0, 45, 2, 0
0, 45, 3, 0
0, 46, 0, 0
0, 46, 1, 0
0, 46, 2, 0
0, 46, 3, 0
0, 47, 0, 0
0, 47, 1, 0
0, 47, 2, 0
0, 47, 3, 0
0, 48, 0, 0
0, 48, 1, 0
0, 48, 2, 0
0, 48, 3, 0
0, 49, 0, 0
0, 49, 1, 0
0, 49, 2, 0
0, 49, 3, 0
0, 50, 0, 0
0, 50, 1, 0
0, 50, 2, 0
0, 50, 3, 0
0, 51, 0, 0
0, 51, 1, 0
0, 51, 2, 0
0, 51, 3, 0
0, 52, 0, 0
0, 52, 1, 0
0, 52, 2, 0
0, 52, 3, 0
0, 53, 0, 0
0, 53, 1, 0
0, 53, 2, 0
0, 53, 3, 0
0, 54, 0, 0
0, 54, 1, 0
0, 54, 2, 0
0, 54, 3, 0
0, 55, 0, 0
0, 55, 1, 0
0, 55, 2, 0
0, 55, 3, 0
0, 56, 0, 0
0, 56, 1, 0
0, 56, 2, 0
0, 56, 3, 0
0, 57, 0, 0
0, 57, 1, 0
0, 57, 2, 0
0, 57, 3, 0
0, 58, 0, 0
0, 58, 1, 9.469663941885642e-10
0, 58, 2, 0
0, 58, 3, 0
0, 59, 0, 0
0, 59, 1, 0
0, 59, 2, 0
0, 59, 3, 0
0, 60, 0, 0
0, 60, 1, 0
0, 60, 2, 0
0, 60, 3, 0
0, 61, 0, 0
0, 61, 1, 0
0, 61, 2, 0
0, 61, 3, 0
0, 62, 0, 0
0, 62, 1, 0
0, 62, 2, 0
0, 62, 3, 0
0, 63, 0, 0
0, 63, 1, 0
0, 63, 2, 0
0, 63, 3, 0
0, 64, 0, 0
0, 64, 1, 0
0, 64, 2, 0
0, 64, 3, 0
0, 65, 0, 0
0, 65, 1, 0
0, 65, 2, 0
0, 65, 3, 0
0, 66, 0, 0
0, 66, 1, 0
0, 66, 2, 0
0, 66, 3, 0
0, 67, 0, 0
0, 67, 1, 0
0, 67, 2, 0
0, 67, 3, 0
0, 68, 0, 0
0, 68, 1, 0
0, 68, 2, 0
0, 68, 3, 0
0, 69, 0, 0
0, 69, 1, 0
0, 69, 2, 0
0, 69, 3, 0
0, 70, 0, 0
0, 70, 1, 0
0, 70, 2, 0
0, 70, 3, 0
0, 71, 0, 0
0, 71, 1, 0
0, 71, 2, 0
0, 71, 3, 0
0, 72, 0, 0
0, 72, 1, 0
0, 72, 2, 0
0, 72, 3, 0
0, 73, 0, 0
0, 73, 1, 0
0, 73, 2, 1.448056563546629e-09
0, 73, 3, 0
0, 74, 0, 0
0, 74, 1, 0
0, 74, 2, 0
0, 74, 3, 0
0, 75, 0, 0
0, 75, 1, 0
0, 75, 2, 0
0, 75, 3, 0
0, 76, 0, 0
0, 76, 1, 0
0, 76, 2, 0
0, 76, 3, 0
0, 77, 0, 0
0, 77, 1, 0
0, 77, 2, 0
0, 77, 3, 0
0, 78, 0, 0
0, 78, 1, 0
0, 78, 2, 0
0, 78, 3, 0
0, 79, 0, 0
0, 79, 1, 0
0, 79, 2, 0
0, 79, 3, 0
0, 80, 0, 0
0, 80, 1, 0
0, 80, 2, 0
0, 80, 3, 0
0, 81, 0, 0
0, 81, 1, 0
0, 81, 2, 0
0, 81, 3, 0
0, 82, 0, 0
0, 82, 1, 0
0, 82, 2, 0
0, 82, 3, 0
0, 83, 0, 0
0, 83, 1, 0
0, 83, 2, 0
0, 83, 3, 0
0, 84, 0, 0
0, 84, 1, 0
0, 84, 2, 0
0, 84, 3, 0
0, 85, 0, 0
0, 85, 1, 0
0, 85, 2, 0
0, 85, 3, 0
0, 86, 0, 0
0, 86, 1, 0
0, 86, 2, 0
0, 86, 3, 0
0, 87, 0, 0
0, 87, 1, 0
0, 87, 2, 0
0, 87, 3, 0
0, 88, 0, 0
0, 88, 1, 0
0, 88, 2, 0
0, 88, 3, 0
0, 89, 0, 0
0, 89, 1, 0
0, 89, 2, 0
0, 89, 3, 0
0, 90, 0, 0
0, 90, 1, 0
0, 90, 2, 0
0, 90, 3, 0
0, 91, 0, 0
0, 91, 1, 0
0, 91, 2, 0
0, 91, 3, 0
0, 92, 0, 0
0, 92, 1, 0
0, 92, 2, 0
0, 92, 3, 0
0, 93, 0, 0
0, 93, 1, 0
0, 93, 2, 0
0, 93, 3, 0
0, 94, 0, 0
0, 94, 1, 0
0, 94, 2, 0
0, 94, 3, 0
0, 95, 0, 0
0, 95, 1, 0
0, 95, 2, 0
0, 95, 3, 0
0, 96, 0, 0
0, 96, 1, 0
0, 96, 2, 0
0, 96, 3, 0
0, 97, 0, 0
0, 97, 1, 0
0, 97, 2, 0
0, 97, 3, 0
0, 98, 0, 0
0, 98, 1, 0
0, 98, 2, 0
0, 98, 3, 0
0, 99, 0, 0
0, 99, 1, 0
0, 99, 2, 0
0, 99, 3, 0
0, 100, 0, 0
0, 100, 1, 0
0, 100, 2, 0
0, 100, 3, 0
0, 101, 0, 0
0, 101, 1, 0
0, 101, 2, 0
0, 101, 3, 0
0, 102, 0, 0
0, 102, 1, 0
0, 102, 2, 0
0, 102, 3, 0
0, 103, 0, 0
0, 103, 1, 0
0, 103, 2, 0
0, 103, 3, 0
0, 104, 0, 0
0, 104, 1, 0
0, 104, 2, 0
0, 104, 3, 0
0, 105, 0, 0
0, 105, 1, 3.032420758941612e-09
0, 105, 2, 0
0, 105, 3, 0
0, 106, 0, 0
0, 106, 1, 0
0, 106, 2, 0
0, 106, 3, 0
0, 107, 0, 0
0, 107, 1, 0
0, 107, 2, 0
0, 107, 3, 0
0, 108, 0, 0
0, 108, 1, 0
0, 108, 2, 0
0, 108, 3, 0
0, 109, 0, 0
0, 109, 1, 0
0, 109, 2, 0
0, 109, 3, 0
0, 110, 0, 0
0, 110, 1, 0
0, 110, 2, 0
0, 110, 3, 0
0, 111, 0, 0
0, 111, 1, 0
0, 111, 2, 0
0, 111, 3, 0
0, 112, 0, 0
0, 112, 1, 5.074078046618524e-09
0, 112, 2, 1.465236043607376e-09
0, 112, 3, 0
0, 113, 0, 0
0, 113, 1, 0
0, 113, 2, 0
0, 113, 3, 0
0, 114, 0, 0
0, 114, 1, 0
0, 114, 2, 0
0, 114, 3, 0
0, 115, 0, 0
0, 115, 1, 0
0, 115, 2, 0
0, 115, 3, 0
0, 116, 0, 0
0, 116, 1, 0
0, 116, 2, 0
0, 116, 3, 0
0, 117, 0, 0
0, 117, 1, 0
0, 117, 2, 0
0, 117, 3, 0
0, 118, 0, 0
0, 118, 1, 0
0, 118, 2, 0
0, 118, 3, 0
0, 119, 0, 0
0, 119, 1, 0
0, 119, 2, 0
0, 119, 3, 0
0, 120, 0, 0
0, 120, 1, 0
0, 120, 2, 0
0, 120, 3, 0
0, 121, 0, 0
0, 121, 1, 0
0, 121, 2, 3.599182341051943e-10
0, 121, 3, 2.098094142866103e-09
0, 122, 0, 0
0, 122, 1, 0
0, 122, 2, 2.853788982903893e-09
0, 122, 3, 1.349683365070575e-09
0, 123, 0, 0
0, 123, 1, 0
0, 123, 2, 0
0, 123, 3, 0
0, 124, 0, 0
0, 124, 1, 0
0, 124, 2, 0
0, 124, 3, 0
0, 125, 0, 1.473103861115987e-10
0, 125, 1, 0
0, 125, 2, 0
0, 125, 3, 6.282173115046419e-10
0, 126, 0, 1.455502163238975e-09
0, 126, 1, 0
0, 126, 2, 0
0, 126, 3, 5.325856977655974e-10
0, 127, 0, 0
0, 127, 1, 0
0, 127, 2, 0
0, 127, 3, 7.376329547170712e-10
1, 0, 0, 0
1, 0, 1, 0
1, 0, 2, 0
1, 0, 3, 0
1, 1, 0, 0
1, 1, 1, 0
1, 1, 2, 0
1, 1, 3, 0
1, 2, 0, 0
1, 2, 1, 0
1, 2, 2, 0
1, 2, 3, 2.899507890730124e-11
1, 3, 0, 0
1, 3, 1, 0
1, 3, 2, 5.203972253120526e-10
1, 3, 3, 1.320561660023145e-09
1, 4, 0, 0
1, 4, 1, 0
1, 4, 2, 3.245287502270933e-12
1, 4, 3, 7.212307973070153e-10
1, 5, 0, 0
1, 5, 1, 0
1, 5, 2, 0
1, 5, 3, 0
1, 6, 0, 0
1, 6, 1, 2.394888731771516e-10
1, 6, 2, 0
1, 6, 3, 0
1, 7, 0, 4.850375656673123e-10
1, 7, 1, 8.043889443420937e-10
1, 7, 2, 0
1, 7, 3, 0
1, 8, 0, 0
1, 8, 1, 0
1, 8, 2, 0
1, 8, 3, 0
1, 9, 0, 0
1, 9, 1, 0
1, 9, 2, 1.253224080066673e-09
1, 9, 3, 0
1, 10, 0, 0
1, 10, 1, 0
1, 10, 2, 3.191467090601918e-10
1, 10, 3, 0
1, 11, 0, 0
1, 11, 1, 0
1, 11, 2, 0
1, 11, 3, 0
1, 12, 0, 0
1, 12, 1, 0
1, 12, 2, 0
1, 12, 3, 0
1, 13, 0, 0
1, 13, 1, 1.516622494257547e-09
1, 13, 2, 0
1, 13, 3, 0
1, 14, 0, 0
1, 14, 1, 0
1, 14, 2, 0
1, 14, 3, 0
1, 15, 0, 0
1, 15, 1, 0
1, 15, 2, 0
1, 15, 3, 0
1, 16, 0, 0
1, 16, 1, 0
1, 16, 2, 0
1, 16, 3, 5.946101389042724e-10
1, 17, 0, 0
1, 17, 1, 0
1, 17, 2, 0
1, 17, 3, 0
1, 18, 0, 0
1, 18, 1, 0
1, 18, 2, 0
1, 18, 3, 0
1, 19, 0, 2.097655160682166e-09
1, 19, 1, 5.243389056275305e-10
1, 19, 2, 0
1, 19, 3, 1.650136693953641e-10
1, 20, 0, 0
1, 20, 1, 0
1, 20, 2, 0
1, 20, 3, 6.961394793947306e-10
1, 21, 0, 0
1, 21, 1, 0
1, 21, 2, 0
1, 21, 3, 0
1, 22, 0, 0
1, 22, 1, 0
1, 22, 2, 0
1, 22, 3, 0
1, 23, 0, 0
1, 23, 1, 0
1, 23, 2, 0
1, 23, 3, 0
1, 24, 0, 0
1, 24, 1, 0
1, 24, 2, 0
1, 24, 3, 0
1, 25, 0, 0
1, 25, 1, 0
1, 25, 2, 0
1, 25, 3, 0
1, 26, 0, 0
1, 26, 1, 0
1, 26, 2, 0
1, 26, 3, 0
1, 27, 0, 0
1, 27, 1, 0
1, 27, 2, 0
1, 27, 3, 0
1, 28, 0, 0
1, 28, 1, 0
1, 28, 2, 0
1, 28, 3, 0
1, 29, 0, 0
1, 29, 1, 0
1, 29, 2, 0
1, 29, 3, 0
